message_id,message_text,expected_sentiment
1,Багажная служба работает отвратительно! Потеряли чемодан с рейса SU596!,negative
2,Уже 11 дня жду свой чемодан с рейса SU749. Где мои вещи?!,negative
3,Багажная служба работает отвратительно! Потеряли чемодан с рейса SU962!,negative
4,"Потеряли мой багаж на рейсе SU238. Никто не может сказать, где он находится!",negative
5,Багажная служба работает отвратительно! Потеряли чемодан с рейса SU629!,negative
6,Багажная служба работает отвратительно! Потеряли чемодан с рейса SU726!,negative
7,Багаж задержали на 4 дней! Рейс SU539. Где компенсация?!,negative
8,"Багаж поврежден после перелета SU286. Чемодан разбит, вещи испорчены!",negative
9,Мой чемодан не прилетел вместе со мной рейсом SU697. Это катастрофа!,negative
10,"Багаж поврежден после перелета SU197. Чемодан разбит, вещи испорчены!",negative
11,Чемодан вскрыли и украли вещи на рейсе SU350! Возмутительно!,negative
12,Багаж задержали на 6 дней! Рейс SU627. Где компенсация?!,negative
13,Багажная служба работает отвратительно! Потеряли чемодан с рейса SU379!,negative
14,Чемодан вскрыли и украли вещи на рейсе SU302! Возмутительно!,negative
15,Чемодан вскрыли и украли вещи на рейсе SU447! Возмутительно!,negative
16,"Багаж поврежден после перелета SU659. Чемодан разбит, вещи испорчены!",negative
17,Чемодан вскрыли и украли вещи на рейсе SU274! Возмутительно!,negative
18,"Багаж поврежден после перелета SU168. Чемодан разбит, вещи испорчены!",negative
19,Уже 14 дня жду свой чемодан с рейса SU632. Где мои вещи?!,negative
20,Чемодан вскрыли и украли вещи на рейсе SU366! Возмутительно!,negative
21,Мой багаж потерян после рейса SU168! Номер багажной бирки 68702. Это недопустимо!,negative
22,Уже 7 дня жду свой чемодан с рейса SU907. Где мои вещи?!,negative
23,Чемодан вскрыли и украли вещи на рейсе SU805! Возмутительно!,negative
24,Чемодан вскрыли и украли вещи на рейсе SU110! Возмутительно!,negative
25,Мой чемодан не прилетел вместе со мной рейсом SU634. Это катастрофа!,negative
26,Мой багаж потерян после рейса SU486! Номер багажной бирки 55840. Это недопустимо!,negative
27,Багаж задержали на 5 дней! Рейс SU450. Где компенсация?!,negative
28,Чемодан вскрыли и украли вещи на рейсе SU624! Возмутительно!,negative
29,Мой багаж потерян после рейса SU532! Номер багажной бирки 46078. Это недопустимо!,negative
30,Уже 14 дня жду свой чемодан с рейса SU490. Где мои вещи?!,negative
31,Мой чемодан не прилетел вместе со мной рейсом SU340. Это катастрофа!,negative
32,Чемодан вскрыли и украли вещи на рейсе SU389! Возмутительно!,negative
33,"Потеряли мой багаж на рейсе SU292. Никто не может сказать, где он находится!",negative
34,"Багаж поврежден после перелета SU556. Чемодан разбит, вещи испорчены!",negative
35,Багаж задержали на 5 дней! Рейс SU288. Где компенсация?!,negative
36,"Багаж поврежден после перелета SU243. Чемодан разбит, вещи испорчены!",negative
37,Чемодан вскрыли и украли вещи на рейсе SU964! Возмутительно!,negative
38,Мой чемодан не прилетел вместе со мной рейсом SU489. Это катастрофа!,negative
39,Мой багаж потерян после рейса SU758! Номер багажной бирки 13309. Это недопустимо!,negative
40,"Потеряли мой багаж на рейсе SU225. Никто не может сказать, где он находится!",negative
41,Багаж задержали на 1 дней! Рейс SU427. Где компенсация?!,negative
42,"Потеряли мой багаж на рейсе SU583. Никто не может сказать, где он находится!",negative
43,Мой чемодан не прилетел вместе со мной рейсом SU255. Это катастрофа!,negative
44,Система выдает ошибку при выборе мест на рейс SU429!,negative
45,Ваш сайт бронирования ужасен! Невозможно купить билет!,negative
46,Система выдает ошибку при выборе мест на рейс SU644!,negative
47,Двойное списание при бронировании! Верните деньги!,negative
48,Не могу забронировать билет на сайте! Система постоянно выдает ошибку!,negative
49,Система выдает ошибку при выборе мест на рейс SU850!,negative
50,Ваш сайт бронирования ужасен! Невозможно купить билет!,negative
51,Система выдает ошибку при выборе мест на рейс SU567!,negative
52,"Бронирование сорвалось на последнем этапе. Деньги списаны, билета нет!",negative
53,"Бронирование сорвалось на последнем этапе. Деньги списаны, билета нет!",negative
54,"Пытаюсь забронировать рейс SU378 уже час, сайт не работает!",negative
